,age,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
66,young,0.133337902,0.069303811,0.107667804,0.089192264,0.195267349,0.106075085,3.043456024,13.6941731,0.929512183,0.6278722,0.086962457,0.133337902,0.121967879,0.047337278,0.277456647,0.82265625,0,4.6875,4.6875,0.076296296,male
84,young,0.137433311,0.058518247,0.112036915,0.092841134,0.200079103,0.10723797,2.807995168,12.77665008,0.911079506,0.478175097,0.101331575,0.137433311,0.111203994,0.047151277,0.277456647,1.313384434,0,6.046875,6.046875,0.135810914,male
85,matured,0.142226653,0.06544671,0.112242424,0.093454545,0.202909091,0.109454545,2.380898762,9.942832507,0.936039956,0.557276024,0.106545455,0.142226653,0.118711226,0.047012733,0.275862069,0.59375,0,6.5390625,6.5390625,0.096102151,male
87,young,0.133324738,0.072848766,0.11335958,0.082860892,0.203753281,0.120892388,1.904123194,7.799217953,0.958361764,0.708278515,0.108582677,0.133324738,0.116200305,0.047105005,0.279069767,0.424921875,0,5.8125,5.8125,0.081879526,male
88,matured,0.130486897,0.070406551,0.113417722,0.076098287,0.19618764,0.120089352,1.820872604,8.561101138,0.969568221,0.778488652,0.101533879,0.130486897,0.114802358,0.047151277,0.279069767,0.198069853,0,1.078125,1.078125,0.131578947,male
91,young,0.134534586,0.064730727,0.114401806,0.096072235,0.194356659,0.098284424,2.598278384,11.43265271,0.930364284,0.601640457,0.09986456,0.134534586,0.100895912,0.047524752,0.275862069,0.332226563,0,9.46875,9.46875,0.05497655,male
92,young,0.13664934,0.059984179,0.114795417,0.088216039,0.191096563,0.102880524,2.329923844,8.709185143,0.920895616,0.502828661,0.082258592,0.13664934,0.116649849,0.04719764,0.274285714,0.255744485,0,5.15625,5.15625,0.070674487,male
103,young,0.14054143,0.069823767,0.116787565,0.092849741,0.19984456,0.106994819,2.972180609,14.67709149,0.935424345,0.603606475,0.095751295,0.14054143,0.12240888,0.046966732,0.279069767,0.27192051,0,10.5703125,10.5703125,0.036207695,male
106,young,0.138601894,0.057495236,0.118192308,0.103384615,0.199230769,0.095846154,3.206967961,15.23095779,0.906144807,0.514013439,0.1085,0.138601894,0.125236394,0.047105005,0.279069767,1.128148321,0,11.765625,11.765625,0.111304781,male
109,young,0.133851157,0.074432674,0.11884677,0.068168713,0.200021356,0.131852643,1.185589519,4.767063102,0.959647015,0.648285107,0.107485318,0.133851157,0.116153539,0.047058824,0.274285714,0.946601942,0.0234375,12.4921875,12.46875,0.071467732,male
110,matured,0.149294943,0.061190212,0.118885246,0.102360656,0.206557377,0.104196721,2.887083447,13.28019401,0.902355338,0.494936345,0.10695082,0.149294943,0.106267416,0.047105005,0.279069767,0.441894531,0,2.6015625,2.6015625,0.162962963,male
111,matured,0.148197523,0.060440206,0.119144385,0.102459893,0.199786096,0.097326203,2.518011413,10.52244365,0.91959005,0.489727526,0.114010695,0.148197523,0.111773547,0.046920821,0.277456647,0.418204066,0,4.21875,4.21875,0.07979798,male
112,young,0.130252756,0.080159675,0.119259259,0.062457912,0.213299663,0.150841751,2.48759925,11.09684937,0.940127309,0.625528904,0.112659933,0.130252756,0.120419924,0.047244094,0.275862069,0.071469907,0,0.6328125,0.6328125,0.077577578,male
113,young,0.13034283,0.080906927,0.119383562,0.072557078,0.198812785,0.126255708,1.981398537,7.79956381,0.949687207,0.657095654,0.104041096,0.13034283,0.126384501,0.047244094,0.275862069,0.786024306,0,7.875,7.875,0.127632784,male
114,matured,0.141774647,0.07212791,0.119409231,0.093735385,0.210387692,0.116652308,2.232307088,10.22678356,0.956346943,0.695896318,0.108036923,0.141774647,0.112578813,0.047384008,0.275862069,0.360881024,0,6.0703125,6.0703125,0.068716094,male
115,matured,0.14554614,0.073342474,0.11950553,0.09035784,0.218425504,0.128067664,2.736869064,11.89102025,0.936793486,0.611112691,0.09509434,0.14554614,0.113999698,0.047058824,0.275862069,0.472098214,0,3.515625,3.515625,0.076666667,male
120,matured,0.137053918,0.072466597,0.120410783,0.082490372,0.203799743,0.121309371,1.692976046,7.279020707,0.964635853,0.739149546,0.094351733,0.137053918,0.114554285,0.047012733,0.275862069,0.201286765,0,3.0234375,3.0234375,0.074889258,male
122,young,0.131320623,0.065210892,0.120428495,0.079485806,0.178168184,0.098682378,1.470161219,6.679543641,0.96221374,0.692304466,0.096132833,0.131320623,0.117374683,0.047105005,0.277456647,0.608670113,0,10.6640625,10.6640625,0.065107692,male
123,matured,0.139156759,0.070057312,0.120622084,0.089051322,0.200528771,0.111477449,1.755618825,7.620286097,0.967010073,0.737119782,0.109517885,0.139156759,0.119809781,0.047105005,0.279069767,0.377375422,0,4.3828125,4.3828125,0.075905051,male
130,matured,0.13425169,0.070520147,0.121761158,0.08747889,0.193703257,0.106224367,2.406961189,10.75687325,0.953717444,0.694293805,0.094571773,0.13425169,0.108328159,0.046966732,0.271186441,0.226482781,0,3.046875,3.046875,0.085033445,male
132,young,0.141825152,0.070306711,0.121970885,0.099395297,0.211646137,0.11225084,2.707896477,13.43212472,0.951333807,0.684283114,0.112407615,0.141825152,0.127068355,0.047571853,0.274285714,0.264630682,0,4.1484375,4.1484375,0.080357633,male
137,matured,0.140892453,0.078354184,0.122882591,0.071417004,0.217878543,0.146461538,0.933803406,3.836487585,0.964288843,0.701685796,0.093408907,0.140892453,0.107290491,0.046920821,0.279069767,0.338569973,0,4.734375,4.734375,0.059297139,male
143,young,0.138887064,0.060659326,0.123504532,0.098126888,0.185820745,0.087693857,2.083209193,9.114555615,0.947748906,0.638788633,0.106304129,0.138887064,0.120883184,0.047105005,0.277456647,0.291078629,0,5.953125,5.953125,0.075084364,male
